question,expected_articles,retrieved_articles,matched_count,total_expected,is_hit,recall_at_30,rank_of_first_hit,reciprocal_rank,precision_at_1
هل النصب في التجارة يُعاقب عليه القانون؟,قانون العقوبات - المادة 219 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 383 | قانون العقوبات - المادة 172 | قانون العقوبات - المادة 429,قانون العقوبات - المادة 383 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 372 | القانون التجاري - المادة 2 | قانون العقوبات - المادة 429 | القانون التجاري - المادة 30 | قانون العقوبات - المادة 384 | قانون العقوبات - المادة 173 | القانون التجاري - المادة 4 | القانون التجاري - المادة 118 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 1 | قانون العقوبات - المادة 173 مكرر | القانون التجاري - المادة 1 مكرر | القانون التجاري - المادة 5 | القانون 04-08 شروط ممارسة النشاط التجاري - المادة 31 | القانون التجاري - المادة 22 | قانون العقوبات - المادة 442 مكرر | القانون رقم 09-03 المتعلق بحماية المستهلك وقمع الغش - المادة 68 | القانون التجاري - المادة 89 | القانون التجاري - المادة 31 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 5 | القانون التجاري - المادة 8 | قانون العقوبات - المادة 170 | قانون العقوبات - المادة 363 | القانون 18-05 المتعلق بالتجارة الإلكترونية - المادة 3 | القانون التجاري - المادة 3 | القانون التجاري - المادة 10 مكرر | القانون التجاري - المادة 14 | القانون التجاري - المادة 569,3,5,True,0.6,1,1.0,1
شخص باعني منتج مزور، هل هذا يعتبر جريمة؟,قانون العقوبات - المادة 203 | قانون العقوبات - المادة 172 | قانون العقوبات - المادة 219 | قانون العقوبات - المادة 431 | قانون العقوبات - المادة 228,قانون العقوبات - المادة 203 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 429 | قانون العقوبات - المادة 228 | قانون العقوبات - المادة 372 | القانون رقم 09-03 المتعلق بحماية المستهلك وقمع الغش - المادة 68 | قانون العقوبات - المادة 221 | قانون العقوبات - المادة 231 | قانون العقوبات - المادة 230 | قانون العقوبات - المادة 387 | قانون العقوبات - المادة 359 | القانون المدني - المادة 140 مكرر | قانون العقوبات - المادة 202 | قانون العقوبات - المادة 199 | قانون العقوبات - المادة 226 | قانون العقوبات - المادة 25 | قانون العقوبات - المادة 220 | قانون العقوبات - المادة 218 | القانون المدني - المادة 353 | قانون العقوبات - المادة 229 | قانون العقوبات - المادة 204 | قانون العقوبات - المادة 225 | قانون العقوبات - المادة 170 | القانون المدني - المادة 327 | قانون العقوبات - المادة 388 | قانون العقوبات - المادة 18 | قانون العقوبات - المادة 28 | قانون العقوبات - المادة 358 | القانون المدني - المادة 400 | قانون العقوبات - المادة 39,2,5,True,0.4,1,1.0,1
ما هي عقوبة الغش في بيع السلع؟,قانون العقوبات - المادة 431 | قانون العقوبات - المادة 432 | قانون العقوبات - المادة 433 | قانون العقوبات - المادة 430 | قانون العقوبات - المادة 434,قانون العقوبات - المادة 432 | قانون العقوبات - المادة 429 | قانون العقوبات - المادة 431 | قانون العقوبات - المادة 430 | القانون رقم 09-03 المتعلق بحماية المستهلك وقمع الغش - المادة 68 | قانون العقوبات - المادة 435 | قانون العقوبات - المادة 363 | القانون المدني - المادة 358 | القانون المدني - المادة 192 | القانون المدني - المادة 352 | القانون التجاري - المادة 800 | قانون العقوبات - المادة 383 | القانون المدني - المادة 196 | قانون العقوبات - المادة 173 | قانون العقوبات - المادة 210 | قانون العقوبات - المادة 228 مكرر | القانون المدني - المادة 182 | القانون المدني - المادة 178 | قانون العقوبات - المادة 5 | قانون العقوبات - المادة 298 | القانون المدني - المادة 201 | القانون المدني - المادة 359 | قانون العقوبات - المادة 387 | القانون المدني - المادة 185 | قانون العقوبات - المادة 170 | القانون المدني - المادة 399 | القانون المدني - المادة 272 | القانون المدني - المادة 384 | القانون التجاري - المادة 33 | قانون العقوبات - المادة 299,3,5,True,0.6,1,1.0,1
هل يمكنني رفع شكوى ضد تاجر خدعني؟,القانون التجاري - المادة 91 | القانون التجاري - المادة 1 | القانون التجاري - المادة 215 | القانون المدني - المادة 372 | قانون العقوبات - المادة 429,القانون رقم 09-03 المتعلق بحماية المستهلك وقمع الغش - المادة 68 | قانون العقوبات - المادة 429 | قانون العقوبات - المادة 383 | قانون الإجراءات المدنية والإدارية - المادة 829 | قانون العقوبات - المادة 372 | القانون التجاري - المادة 91 | القانون التجاري - المادة 374 | قانون العقوبات - المادة 369 | القانون المدني - المادة 400 | القانون المدني - المادة 359 | القانون المدني - المادة 324 مكرر 6 | القانون التجاري - المادة 94 | القانون التجاري - المادة 81 | قانون الاجراءات المدنية والادارية - المادة 13 | القانون المدني - المادة 802 | القانون التجاري - المادة 588 | القانون التجاري - المادة 215 | القانون المدني - المادة 381 | قانون الاجراءات المدنية والادارية - المادة 44 | القانون التجاري - المادة 24 | القانون المدني - المادة 537 | القانون المدني - المادة 366 | قانون الاجراءات المدنية والادارية - المادة 14 | القانون التجاري - المادة 100 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | قانون الإجراءات المدنية والإدارية - المادة 800 | القانون التجاري - المادة 109 | القانون التجاري - المادة 777 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 231,4,5,True,0.8,2,0.5,0
ما هي عقوبة إصدار شيك بدون رصيد؟,قانون العقوبات - المادة 374 | قانون العقوبات - المادة 375 | القانون التجاري - المادة 503 | قانون العقوبات - المادة 219 | قانون العقوبات - المادة 228,قانون العقوبات - المادة 374 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 219 | القانون التجاري - المادة 503 | قانون العقوبات - المادة 285 | قانون العقوبات - المادة 375 | قانون العقوبات - المادة 198 | قانون العقوبات - المادة 197 | القانون التجاري - المادة 472 | قانون العقوبات - المادة 208 | قانون العقوبات - المادة 284 | قانون العقوبات - المادة 433 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | قانون العقوبات - المادة 367 | قانون العقوبات - المادة 286 | قانون العقوبات - المادة 203 | قانون العقوبات - المادة 371 | قانون العقوبات - المادة 298 | قانون العقوبات - المادة 15 | قانون العقوبات - المادة 228 | قانون العقوبات - المادة 4 | قانون العقوبات - المادة 199 | قانون العقوبات - المادة 202 | قانون العقوبات - المادة 201 | قانون العقوبات - المادة 266 | قانون العقوبات - المادة 363 | قانون 90-11 المتعلق بعلاقات العمل - المادة 148 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 381 | قانون العقوبات - المادة 370,5,5,True,1.0,1,1.0,1
هل عدم تسليم السلعة بعد الدفع يعتبر جريمة؟,القانون المدني - المادة 168 | القانون التجاري - المادة 215 | القانون التجاري - المادة 374 | قانون العقوبات - المادة 382 | القانون المدني - المادة 367,قانون العقوبات - المادة 366 | القانون التجاري - المادة 33 | القانون المدني - المادة 168 | القانون المدني - المادة 363 | القانون المدني - المادة 421 | القانون المدني - المادة 387 | القانون المدني - المادة 367 | القانون المدني - المادة 394 | قانون الاجراءات المدنية والادارية - المادة 309 | قانون الاجراءات المدنية والادارية - المادة 67 | القانون المدني - المادة 424 | القانون المدني - المادة 119 | القانون المدني - المادة 388 | القانون المدني - المادة 186 | القانون المدني - المادة 392 | القانون المدني - المادة 369 | قانون العقوبات - المادة 367 | القانون المدني - المادة 406 | القانون التجاري - المادة 215 | قانون الاجراءات المدنية والادارية - المادة 68 | قانون العقوبات - المادة 382 | القانون المدني - المادة 390 | القانون المدني - المادة 812 | قانون العقوبات - المادة 387 | القانون المدني - المادة 364 | قانون العقوبات - المادة 48 | القانون المدني - المادة 366 | القانون المدني - المادة 469 مكرر 4 | قانون الاجراءات المدنية والادارية - المادة 47 | القانون المدني - المادة 195,4,5,True,0.8,3,0.3333,0
هل التزوير في الفواتير يعاقب عليه؟,قانون العقوبات - المادة 229 | قانون العقوبات - المادة 219 | قانون العقوبات - المادة 214 | قانون العقوبات - المادة 216 | قانون العقوبات - المادة 220,قانون العقوبات - المادة 219 | قانون العقوبات - المادة 220 | قانون العقوبات - المادة 215 | قانون العقوبات - المادة 222 | قانون العقوبات - المادة 214 | قانون العقوبات - المادة 197 | قانون العقوبات - المادة 216 | قانون العقوبات - المادة 227 | قانون العقوبات - المادة 203 | قانون العقوبات - المادة 229 | قانون العقوبات - المادة 228 | قانون العقوبات - المادة 375 | قانون العقوبات - المادة 231 | قانون العقوبات - المادة 381 | قانون العقوبات - المادة 218 | قانون العقوبات - المادة 230 | قانون العقوبات - المادة 221 | قانون العقوبات - المادة 226 | قانون العقوبات - المادة 223 | قانون العقوبات - المادة 206 | قانون العقوبات - المادة 199 | قانون العقوبات - المادة 371 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 372 | قانون العقوبات - المادة 383 | قانون العقوبات - المادة 204 | القانون المدني - المادة 324 مكرر 6 | قانون العقوبات - المادة 217 | قانون العقوبات - المادة 172 | القانون التجاري - المادة 204,5,5,True,1.0,1,1.0,1
ما عقوبة سرقة معدات من محل تجاري؟,قانون العقوبات - المادة 203 | قانون العقوبات - المادة 354 | قانون العقوبات - المادة 353 | قانون العقوبات - المادة 350 | قانون العقوبات - المادة 352,قانون العقوبات - المادة 352 | قانون العقوبات - المادة 361 | قانون العقوبات - المادة 354 | قانون العقوبات - المادة 353 | قانون العقوبات - المادة 350 | قانون العقوبات - المادة 351 | القانون المدني - المادة 836 | قانون العقوبات - المادة 386 | قانون العقوبات - المادة 368 | قانون العقوبات - المادة 362 | القانون التجاري - المادة 99 | القانون التجاري - المادة 78 | قانون العقوبات - المادة 173 | القانون التجاري - المادة 169 | قانون العقوبات - المادة 383 | القانون التجاري - المادة 2 | القانون التجاري - المادة 118 | قانون العقوبات - المادة 366 | دليل إجراءات المركز الوطني للسجل التجاري (CNRC) - المادة 0 | قانون العقوبات - المادة 372 | القانون المدني - المادة 433 | قانون العقوبات - المادة 203 | القانون التجاري - المادة 800 | قانون العقوبات - المادة 369 | القانون التجاري - المادة 4 | الأمر 03-03 المتعلق بالمنافسة - المادة 26 | القانون التجاري - المادة 79 | القانون التجاري - المادة 811 | القانون التجاري - المادة 119 | القانون التجاري - المادة 96,5,5,True,1.0,1,1.0,1
هل يمكن متابعة موظف سرق من الشركة؟,القانون المدني - المادة 442 | قانون العقوبات - المادة 352 | القانون التجاري - المادة 15 | قانون العقوبات - المادة 215 | قانون العقوبات - المادة 369,قانون العقوبات - المادة 361 | قانون العقوبات - المادة 352 | قانون العقوبات - المادة 353 | القانون المدني - المادة 836 | قانون العقوبات - المادة 354 | قانون العقوبات - المادة 369 | قانون العقوبات - المادة 350 | القانون المدني - المادة 168 | قانون العقوبات - المادة 368 | القانون التجاري - المادة 811 | القانون التجاري - المادة 800 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | قانون العقوبات - المادة 351 | القانون المدني - المادة 433 | قانون العقوبات - المادة 223 | قانون العقوبات - المادة 363 | القانون المدني - المادة 817 | القانون التجاري - المادة 578 | القانون التجاري - المادة 588 | قانون العقوبات - المادة 362 | قانون العقوبات - المادة 387 | قانون العقوبات - المادة 366 | قانون 90-11 المتعلق بعلاقات العمل - المادة 73-4 | القانون المدني - المادة 764 | القانون التجاري - المادة 585 | القانون المدني - المادة 182 | قانون العقوبات - المادة 370 | القانون المدني - المادة 681 مكرر 1 | قانون العقوبات - المادة 372 | القانون المدني - المادة 700,2,5,True,0.4,2,0.5,0
ما هي عقوبة خيانة الأمانة في التجارة؟,قانون العقوبات - المادة 376 | قانون العقوبات - المادة 378 | قانون العقوبات - المادة 379 | قانون العقوبات - المادة 381 | قانون العقوبات - المادة 429,قانون العقوبات - المادة 376 | قانون العقوبات - المادة 378 | قانون العقوبات - المادة 379 | قانون العقوبات - المادة 383 | قانون العقوبات - المادة 377 | قانون العقوبات - المادة 429 | قانون العقوبات - المادة 432 | قانون العقوبات - المادة 381 | القانون رقم 09-03 المتعلق بحماية المستهلك وقمع الغش - المادة 68 | قانون العقوبات - المادة 219 | قانون العقوبات - المادة 372 | القانون التجاري - المادة 800 | القانون التجاري - المادة 30 | القانون التجاري - المادة 97 | قانون العقوبات - المادة 5 | قانون العقوبات - المادة 173 | قانون العقوبات - المادة 384 | القانون التجاري - المادة 811 | القانون التجاري - المادة 118 | قانون العقوبات - المادة 388 | قانون العقوبات - المادة 4 | القانون التجاري - المادة 100 | القانون التجاري - المادة 32 | قانون العقوبات - المادة 382 مكرر | قانون العقوبات - المادة 298 | قانون العقوبات - المادة 266 | القانون التجاري - المادة 2 | القانون التجاري - المادة 28 | قانون العقوبات - المادة 170 | القانون التجاري - المادة 119,5,5,True,1.0,1,1.0,1
