model,question,found,answer_similarity,answer_correctness,faithfulness,article_recall,accuracy
BGE-M3,هل النصب في التجارة يُعاقب عليه القانون؟,True,0.6059,0.3048,0.5126,0.6,0.496
BGE-M3,شخص باعني منتج مزور، هل هذا يعتبر جريمة؟,True,0.7668,0.382,0.4684,0.2,0.5067
BGE-M3,ما هي عقوبة الغش في بيع السلع؟,True,0.71,0.3846,0.4825,0.6,0.5504
BGE-M3,هل يمكنني رفع شكوى ضد تاجر خدعني؟,True,0.4551,0.2212,0.3297,0.4,0.3516
BGE-M3,ما هي عقوبة إصدار شيك بدون رصيد؟,True,0.5482,0.463,0.6905,0.8,0.5888
BGE-M3,هل عدم تسليم السلعة بعد الدفع يعتبر جريمة؟,True,0.7766,0.4889,0.5167,0.4,0.5818
BGE-M3,هل التزوير في الفواتير يعاقب عليه؟,True,0.8064,0.4215,0.5185,0.8,0.6324
BGE-M3,ما عقوبة سرقة معدات من محل تجاري؟,True,0.6886,0.2803,0.3376,0.6,0.4826
BGE-M3,هل يمكن متابعة موظف سرق من الشركة؟,True,0.7127,0.2222,0.3248,0.0,0.3811
BGE-M3,ما هي عقوبة خيانة الأمانة في التجارة؟,True,0.5128,0.2772,0.4481,0.6,0.4422
BGE-M3,هل نشر معلومات كاذبة عن شركة جريمة؟,True,0.7044,0.3208,0.455,0.4,0.4938
BGE-M3,هل يمكن معاقبة شخص على المنافسة غير الشريفة؟,True,0.7519,0.2283,0.3854,0.2,0.4387
BGE-M3,ما عقوبة التهديد في إطار العمل؟,True,0.761,0.2329,0.4151,1.0,0.5692
BGE-M3,هل الاحتيال الإلكتروني (online scam) جريمة؟,True,0.7719,0.4865,0.5395,0.75,0.6365
BGE-M3,ما هي عقوبة انتحال صفة شركة؟,True,0.8571,0.6237,0.7,0.4,0.6871
BGE-M3,هل استغلال أموال الشركة بشكل غير قانوني جريمة؟,True,0.7537,0.5047,0.5783,0.6,0.6209
